ticker,shares,avg_cost,current_price,market_value,unrealized_pnl
NVDA,0.000134,109.445,109.63,0.01,0.0
AAPL,3.39629,217.0682,217.85,739.88,2.66
MSFT,1.904479,387.3476,378.82,721.45,-16.24
AMZN,3.491442,197.9883,192.64,672.59,-18.67
WMT,8.134699,87.4971,85.1,692.26,-19.5
JPM,2.675097,240.6482,242.82,649.57,5.81
V,2.061125,341.6037,342.63,706.2,2.12
JNJ,4.407796,163.4664,163.69,721.51,0.99
CAT,2.173059,339.3951,329.64,716.33,-21.2
CVX,4.239175,160.3256,166.09,704.08,24.44
CSCO,11.779038,61.3617,60.86,716.87,-5.91
PG,4.074899,167.4471,168.0,684.58,2.25
HD,2.074525,359.0697,357.91,742.49,-2.41
KO,10.513319,69.6181,70.37,739.82,7.91
UNH,1.296006,507.4407,515.58,668.19,10.55
MRK,8.437003,93.1545,89.23,752.83,-33.11
GS,1.374712,565.819,543.2,746.74,-31.09
AXP,2.587762,266.7379,265.48,687.0,-3.26
MCD,2.20819,305.471,306.97,677.85,3.31
IBM,3.160903,248.0531,243.87,770.85,-13.22
VZ,16.823898,43.8076,44.94,756.07,19.05
AMGN,2.369656,315.2668,306.95,727.37,-19.71
DIS,7.597034,99.3691,98.02,744.66,-10.25
BA,4.232217,164.0378,173.27,733.32,39.07
CRM,2.734916,278.6712,269.95,738.29,-23.85
HON,3.399974,210.4562,210.32,715.08,-0.46
SHW,2.138412,346.337,339.75,726.53,-14.09
MMM,4.764712,150.7523,144.82,690.03,-28.27
NKE,12.293646,69.1365,63.29,778.06,-71.87
TRV,2.853168,259.0766,261.71,746.7,7.51
SPY,1.232926,564.5073,555.83,685.3,-10.7
